Sample label [TARA_station#_environmental-feature_size-fraction]	INSDC sample accession number(s)	INSDC run accession number(s)	Corresponding nucleotides data published at ENA	PANGAEA sample identifier	Corresponding contextual data published at PANGAEA	Station identifier [TARA_station#]	Date/Time [yyyy-mm-ddThh:mm]	Latitude [degrees North]	Longitude [degrees East]	Sampling depth [m]	Environmental Feature	Size fraction lower threshold [micrometre]	Size fraction upper threshold [micrometre]	Marine pelagic biomes (Longhurst 2007)	Ocean and sea regions (IHO General Sea Areas 1953) [MRGID registered at www.marineregions.com]	Marine pelagic biomes  (Longhurst 2007) [MRGID registered at www.marineregions.com] 
TARA_030_SRF_0.22-1.6	ERS478017	ERR315862|ERR315863	"http://www.ebi.ac.uk/ena/data/view/ERR315862,ERR315863"	TARA_A100001015	http://www.pangaea.de/search?All&q=TARA_A100001015	TARA_030	2009-12-15T10:41	33.9179	32.898	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Westerlies Biome	(MS) Mediterranean Sea [MRGID:1905]	"(MEDI) Mediterranean Sea, Black Sea Province [MRGID:21465]"
TARA_031_SRF_0.22-1.6	ERS488545	ERR598969|ERR599106	"http://www.ebi.ac.uk/ena/data/view/ERR598969,ERR599106"	TARA_A100001388	http://www.pangaea.de/search?All&q=TARA_A100001388	TARA_031	2010-01-09T07:15	27.16	34.835	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_031_SRF_<-0.22	ERS488558	ERR594401|ERR594410	"http://www.ebi.ac.uk/ena/data/view/ERR594401,ERR594410"	TARA_A100001391	http://www.pangaea.de/search?All&q=TARA_A100001391	TARA_031	2010-01-09T07:15	27.16	34.835	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_032_DCM_0.22-1.6	ERS488599	ERR599061|ERR599097	"http://www.ebi.ac.uk/ena/data/view/ERR599061,ERR599097"	TARA_A100001037	http://www.pangaea.de/search?All&q=TARA_A100001037	TARA_032	2010-01-11T14:17	23.4183	37.245	80	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_032_DCM_<-0.22	ERS488613	ERR594360	http://www.ebi.ac.uk/ena/data/view/ERR594360	TARA_A100001518	http://www.pangaea.de/search?All&q=TARA_A100001518	TARA_032	2010-01-11T14:17	23.4183	37.245	80	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_032_SRF_0.22-1.6	ERS488569	ERR599041|ERR599116|ERR599155	"http://www.ebi.ac.uk/ena/data/view/ERR599041,ERR599116,ERR599155"	TARA_A100001035	http://www.pangaea.de/search?All&q=TARA_A100001035	TARA_032	2010-01-11T07:21	23.36	37.2183	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_032_SRF_<-0.22	ERS488589	ERR594393	http://www.ebi.ac.uk/ena/data/view/ERR594393	TARA_A100001515	http://www.pangaea.de/search?All&q=TARA_A100001515	TARA_032	2010-01-11T07:21	23.36	37.2183	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_033_SRF_0.22-1.6	ERS488621	ERR599049|ERR599134	"http://www.ebi.ac.uk/ena/data/view/ERR599049,ERR599134"	TARA_A100001234	http://www.pangaea.de/search?All&q=TARA_A100001234	TARA_033	2010-01-13T07:16	21.9467	38.2517	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_034_DCM_0.22-1.6	ERS488685	ERR598975|ERR599111	"http://www.ebi.ac.uk/ena/data/view/ERR598975,ERR599111"	TARA_B100000029	http://www.pangaea.de/search?All&q=TARA_B100000029	TARA_034	2010-01-20T11:50	18.4417	39.8567	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_034_DCM_<-0.22	ERS488701	ERR594390	http://www.ebi.ac.uk/ena/data/view/ERR594390	TARA_R100000008	http://www.pangaea.de/search?All&q=TARA_R100000008	TARA_034	2010-01-20T11:50	18.4417	39.8567	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_034_SRF_0.1-0.22	ERS488658	ERR594328	http://www.ebi.ac.uk/ena/data/view/ERR594328	TARA_Y100000004	http://www.pangaea.de/search?All&q=TARA_Y100000004	TARA_034	2010-01-20T04:27	18.3967	39.875	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_034_SRF_0.22-1.6	ERS488649	ERR598959|ERR598991	"http://www.ebi.ac.uk/ena/data/view/ERR598959,ERR598991"	TARA_B100000003	http://www.pangaea.de/search?All&q=TARA_B100000003	TARA_034	2010-01-20T04:27	18.3967	39.875	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_034_SRF_<-0.22	ERS488673	ERR594368|ERR594370	"http://www.ebi.ac.uk/ena/data/view/ERR594368,ERR594370"	TARA_R100000005	http://www.pangaea.de/search?All&q=TARA_R100000005	TARA_034	2010-01-20T04:27	18.3967	39.875	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(RS) Red Sea [MRGID:4264]	"(REDS) Red Sea, Persian Gulf Province [MRGID:21474]"
TARA_036_DCM_0.22-1.6	ERS488747	ERR598974|ERR599028	"http://www.ebi.ac.uk/ena/data/view/ERR598974,ERR599028"	TARA_B100000035	http://www.pangaea.de/search?All&q=TARA_B100000035	TARA_036	2010-03-12T12:23	20.8222	63.5133	17	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_036_DCM_<-0.22	ERS488757	ERR594402	http://www.ebi.ac.uk/ena/data/view/ERR594402	TARA_R100000030	http://www.pangaea.de/search?All&q=TARA_R100000030	TARA_036	2010-03-12T12:23	20.8222	63.5133	17	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_036_SRF_0.1-0.22	ERS488722	ERR594334	http://www.ebi.ac.uk/ena/data/view/ERR594334	TARA_Y100000015	http://www.pangaea.de/search?All&q=TARA_Y100000015	TARA_036	2010-03-12T06:06	20.8183	63.5047	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_036_SRF_0.22-1.6	ERS488714	ERR598966|ERR599143	"http://www.ebi.ac.uk/ena/data/view/ERR598966,ERR599143"	TARA_Y100000022	http://www.pangaea.de/search?All&q=TARA_Y100000022	TARA_036	2010-03-12T06:06	20.8183	63.5047	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_036_SRF_<-0.22	ERS488737	ERR594369	http://www.ebi.ac.uk/ena/data/view/ERR594369	TARA_R100000027	http://www.pangaea.de/search?All&q=TARA_R100000027	TARA_036	2010-03-12T06:06	20.8183	63.5047	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_037_MES_0.1-0.22	ERS488773	ERR594290|ERR594345	"http://www.ebi.ac.uk/ena/data/view/ERR594290,ERR594345"	TARA_Y100000310	http://www.pangaea.de/search?All&q=TARA_Y100000310	TARA_037	2010-03-12T17:08:47	20.8457	63.5851	600	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.1	0.22	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_037_MES_0.22-1.6	ERS488769	ERR599031|ERR599062	"http://www.ebi.ac.uk/ena/data/view/ERR599031,ERR599062"	TARA_B100000315	http://www.pangaea.de/search?All&q=TARA_B100000315	TARA_037	2010-03-12T17:08:47	20.8457	63.5851	600	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	1.6	Coastal Biome 	(IO) Indian Ocean [MRGID:1904]	(ARAB) Northwest Arabian Sea Upwelling Province [MRGID:21475]
TARA_038_DCM_0.22-1.6	ERS488830	ERR598949|ERR599082	"http://www.ebi.ac.uk/ena/data/view/ERR598949,ERR599082"	TARA_B100000073	http://www.pangaea.de/search?All&q=TARA_B100000073	TARA_038	2010-03-15T11:18	19.0284	64.5126	25	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_DCM_<-0.22	ERS488836	ERR594386|ERR594399	"http://www.ebi.ac.uk/ena/data/view/ERR594386,ERR594399"	TARA_R100000084	http://www.pangaea.de/search?All&q=TARA_R100000084	TARA_038	2010-03-15T11:18	19.0284	64.5126	25	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_MES_0.1-0.22	ERS488853	ERR594312	http://www.ebi.ac.uk/ena/data/view/ERR594312	TARA_Y100000296	http://www.pangaea.de/search?All&q=TARA_Y100000296	TARA_038	2010-03-16T06:13:30	19.0351	64.5638	340	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_MES_0.22-1.6	ERS488849	ERR599109|ERR599167	"http://www.ebi.ac.uk/ena/data/view/ERR599109,ERR599167"	TARA_Y100000294	http://www.pangaea.de/search?All&q=TARA_Y100000294	TARA_038	2010-03-16T06:13:30	19.0351	64.5638	340	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_SRF_0.1-0.22	ERS488803	ERR594330	http://www.ebi.ac.uk/ena/data/view/ERR594330	TARA_Y100000289	http://www.pangaea.de/search?All&q=TARA_Y100000289	TARA_038	2010-03-15T03:35	19.0393	64.4913	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_SRF_0.22-1.6	ERS488799	ERR599102|ERR599158	"http://www.ebi.ac.uk/ena/data/view/ERR599102,ERR599158"	TARA_Y100000287	http://www.pangaea.de/search?All&q=TARA_Y100000287	TARA_038	2010-03-15T03:35	19.0393	64.4913	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_038_SRF_<-0.22	ERS488813	ERR594374|ERR594400	"http://www.ebi.ac.uk/ena/data/view/ERR594374,ERR594400"	TARA_R100000081	http://www.pangaea.de/search?All&q=TARA_R100000081	TARA_038	2010-03-15T03:35	19.0393	64.4913	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_DCM_0.22-1.6	ERS488916	ERR599145	http://www.ebi.ac.uk/ena/data/view/ERR599145	TARA_B100000085	http://www.pangaea.de/search?All&q=TARA_B100000085	TARA_039	2010-03-18T11:33	18.5839	66.4727	25	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_DCM_<-0.22	ERS488929	ERR594363|ERR594397	"http://www.ebi.ac.uk/ena/data/view/ERR594363,ERR594397"	TARA_R100000482	http://www.pangaea.de/search?All&q=TARA_R100000482	TARA_039	2010-03-18T11:33	18.5839	66.4727	25	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_MES_0.1-0.22	ERS488945	ERR594346	http://www.ebi.ac.uk/ena/data/view/ERR594346	TARA_Y100000034	http://www.pangaea.de/search?All&q=TARA_Y100000034	TARA_039	2010-03-20T08:15:28	18.7341	66.3896	270	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_MES_0.22-1.6	ERS488936	ERR599037|ERR599172	"http://www.ebi.ac.uk/ena/data/view/ERR599037,ERR599172"	TARA_Y100000031	http://www.pangaea.de/search?All&q=TARA_Y100000031	TARA_039	2010-03-20T08:15:28	18.7341	66.3896	270	(MES) mesopelagic zone (ENVO:00000213) & marine oxygen minimum zone (ENVO:01000065)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_SRF_0.1-0.22	ERS488879	ERR594327	http://www.ebi.ac.uk/ena/data/view/ERR594327	TARA_Y100000033	http://www.pangaea.de/search?All&q=TARA_Y100000033	TARA_039	2010-03-18T04:27	18.5918	66.622	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_039_SRF_<-0.22	ERS488892	ERR594356|ERR594365	"http://www.ebi.ac.uk/ena/data/view/ERR594356,ERR594365"	TARA_R100000479	http://www.pangaea.de/search?All&q=TARA_R100000479	TARA_039	2010-03-18T04:27	18.5918	66.622	5	(SRF) surface water layer (ENVO:00002042)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_041_DCM_0.22-1.6	ERS489074	ERR598977|ERR599053	"http://www.ebi.ac.uk/ena/data/view/ERR598977,ERR599053"	TARA_B100000287	http://www.pangaea.de/search?All&q=TARA_B100000287	TARA_041	2010-03-30T10:56	14.5536	70.0128	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_041_DCM_<-0.22	ERS489084	ERR594366|ERR594367|ERR594371|ERR594372|ERR594373	"http://www.ebi.ac.uk/ena/data/view/ERR594366,ERR594367,ERR594371,ERR594372,ERR594373"	TARA_R100000458	http://www.pangaea.de/search?All&q=TARA_R100000458	TARA_041	2010-03-30T10:56	14.5536	70.0128	60	(DCM) deep chlorophyll maximum layer (ENVO:01000326)	<	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_041_SRF_0.1-0.22	ERS489047	ERR594295	http://www.ebi.ac.uk/ena/data/view/ERR594295	TARA_Y100000052	http://www.pangaea.de/search?All&q=TARA_Y100000052	TARA_041	2010-03-30T02:47	14.6059	69.9776	5	(SRF) surface water layer (ENVO:00002042)	0.1	0.22	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
TARA_041_SRF_0.22-1.6	ERS489043	ERR599011|ERR599074	"http://www.ebi.ac.uk/ena/data/view/ERR599011,ERR599074"	TARA_B100000282	http://www.pangaea.de/search?All&q=TARA_B100000282	TARA_041	2010-03-30T02:47	14.6059	69.9776	5	(SRF) surface water layer (ENVO:00002042)	0.22	1.6	Trades Biome	(IO) Indian Ocean [MRGID:1904]	(MONS) Indian Monsoon Gyres Province [MRGID:21471]
